nome_cliente,cnpj_cliente,email_cliente,telefone_cliente,numero_nf,data_emissao,valor_net,valor_tributo,valor_total,nome_item,qtd_item,condicao_pagamento,cep,num_endereco,complemento,tipo_endereco,data_processamento
Empresa A,12345678901234,contato@empresaA.com,1122334455,001,2023-12-31,500.0,50.0,550.0,Produto 1,5,trinta dias,23085680,100,Apto 101,Comercial,2024-01-01
Empresa B,98765432109876,info@empresaB.com,9988776655,002,2023-12-31,750.0,75.0,825.0,Produto 2,3,a vista,23085690,200,Casa 20,entrega,2024-01-01
Empresa E,12345098765432,contato@empresaE.com,6677889900,005,2023-12-31,800.0,80.0,880.0,Produto 5,6,45 dias,23085700,600,Avenida Secundária,EnderecoInexistente,2024-01-01
Empresa G,12345678012345,info@empresaG.com,2233445566,007,2023-12-31,1000.0,100.0,1100.0,Produto 7,8,60 dias,23085710,800,Avenida Secundária,Entrega/Faturamento,2024-01-01
Empresa I,09876543210987,suporte@empresaI.com,6655443322,009,2023-12-31,1200.0,120.0,1320.0,Produto 9,10,45 dias,32044372,1000,Casa 30,Cobranca/Entrega,2024-01-01
Empresa J,67890123456789,info@empresaJ.com,1122334455,010,2023-12-31,1300.0,130.0,1430.0,Produto 10,11,A vista,32044380,1100,Loja 5,entrega,2024-01-01
Empresa K,12345098711432,contato@empresaK.com,6677889900,011,2023-12-31,1400.0,140.0,1540.0,Produto 11,12,60 dias,32044382,1200,Sala 10,Entrega,2024-01-01
Empresa L,98765432111876,suporte@empresaL.com,5544332211,012,2023-12-31,1500.0,150.0,1650.0,Produto 12,13,quinze dias,32044384,1300,GalpAo 20,Cobranca/Entrega,2024-01-01
Empresa M,56789012304567,info@empresaM.com,1122334455,013,2023-12-31,1600.0,160.0,1760.0,Produto 13,14,trinta dias,32044390,1400,Rua Principal,Cobranca/Faturamento,2024-01-01
Empresa N,22334455667788,contato@empresaN.com,9988776655,014,2023-12-31,1700.0,170.0,1870.0,Produto 14,15,A vista,32044400,1500,Casa 40,entrega,2024-01-01
Empresa O,89012345098765,suporte@empresaO.com,6655443322,015,2023-12-31,1800.0,180.0,1980.0,Produto 15,16,30 dias,32044402,1600,Loja 10,Cobranca,2024-01-01
Empresa P,67890157856789,info@empresaP.com,1122334455,016,2023-12-31,1900.0,190.0,2090.0,Produto 16,17,60 dias,32044410,1700,Sala 20,Entrega/Faturamento,2024-01-01
Empresa Q,12345098225432,contato@empresaQ.com,6677889900,017,2023-12-31,2000.0,200.0,2200.0,Produto 17,18,30 dias,32044420,1800,GalpAo 30,Cobranca/Entrega,2024-01-01
Empresa R,98765432122876,suporte@empresaR.com,5544332211,018,2023-12-31,2100.0,210.0,2310.0,Produto 18,19,30 dias,32044492,1900,Rua Principal,Cobranca/Faturamento,2024-01-01
Empresa S,56789012314567,info@empresaS.com,1122334455,019,2023-12-31,2200.0,220.0,2420.0,Produto 19,20,A vista,77813375,2000,Casa 50,entrega,2024-01-01
Empresa T,22334455667788,contato@empresaT.com,9988776655,020,2023-12-31,2300.0,230.0,2530.0,Produto 20,21,45 dias,77813376,2100,Loja 15,Cobranca,2024-01-01
Empresa U,89012345098765,suporte@empresaU.com,6655443322,021,2023-12-31,2400.0,240.0,2640.0,Produto 21,22,60 dias,77813377,2200,Sala 30,Entrega/Faturamento,2024-01-01
Empresa V,67890123451289,info@empresaV.com,1122334455,022,2023-12-31,2500.0,250.0,2750.0,Produto 22,23,30 dias,77813378,2300,GalpAo 40,Cobranca/Entrega,2024-01-01
Empresa X,12345098733432,contato@empresaX.com,6677889900,023,2023-12-31,2600.0,260.0,2860.0,Produto 23,24,30 dias,77813379,2400,Rua Principal,Cobranca/Faturamento,2024-01-01
Empresa Y,98765432103376,suporte@empresaY.com,5544332211,024,2023-12-31,2700.0,270.0,2970.0,Produto 24,25,A vista,77813380,2500,Casa 60,Residencial,2024-01-01
Empresa Z,56789017704567,info@empresaZ.com,1122334455,025,2023-12-31,2800.0,280.0,3080.0,Produto 25,26,45 dias,44094072,2600,Loja 20,Cobranca,2024-01-01
Empresa AA,223344512467788,contato@empresaAA.com,9988776655,026,2023-12-31,2900.0,290.0,3190.0,Produto 26,27,60 dias,44094078,2700,Sala 40,Entrega/Faturamento,2024-01-01
Empresa BB,89012347898765,suporte@empresaBB.com,6655443322,027,2023-12-31,3000.0,300.0,3300.0,Produto 27,28,15 dias,44094084,2800,GalpAo 50,Cobranca/Entrega,2024-01-01
Empresa CC,678901234785789,info@empresaCC.com,1122334455,028,2023-12-31,3100.0,310.0,3410.0,Produto 28,29,30 dias,44094090,2900,Rua Principal,Cobranca/Faturamento,2024-01-01
